tool,refName,refLen,pufferfishK,lisaK,lisaLeafNodes,queryLen,threads,queryTime(ms),size(MB),NUM_IPBWT_BYTES,ipbwtSize(MB),rmiParamSize(MB),trainingDataSize(MB)
LISA,Chlamydia,1042519,,4,4096,64,4,46.002,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,64,8,136.106,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,64,16,318.29400000000004,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,96,1,29.693,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,96,2,26.812,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,96,4,79.082,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,96,8,198.46,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,96,16,464.427,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,128,1,38.256,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,128,2,42.07,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,128,4,113.3,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,128,8,265.482,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,4096,128,16,574.951,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,4,16384,32,1,7.279,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,32,2,6.779,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,32,4,8.208,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,32,8,56.382000000000005,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,32,16,118.748,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,64,1,13.894,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,64,2,13.387,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,64,4,33.653000000000006,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,64,8,104.107,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,64,16,257.86,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,96,1,21.163,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,96,2,20.455,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,96,4,57.575,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,96,8,158.871,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,96,16,384.233,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,128,1,28.369,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,128,2,28.148,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,128,4,84.11200000000001,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,128,8,213.619,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,16384,128,16,510.479,10.598485946655272,10,9.942235946655272,0.65625,9.0
LISA,Chlamydia,1042519,,4,65536,32,1,6.276999999999999,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,32,2,6.172000000000001,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,32,4,6.426,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,32,8,46.093,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,32,16,107.765,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,64,1,13.137,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,64,2,12.194,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,64,4,29.183,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,64,8,93.257,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,64,16,211.095,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,96,1,19.611,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,96,2,19.269,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,96,4,53.618,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,96,8,149.867,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,96,16,317.278,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,128,1,25.651,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,128,2,24.516,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,128,4,72.75800000000001,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,128,8,200.791,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,65536,128,16,456.642,11.742235946655274,10,9.942235946655272,1.8,9.0
LISA,Chlamydia,1042519,,4,262144,32,1,5.384,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,32,2,4.959,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,32,4,5.997,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,32,8,39.18,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,32,16,111.185,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,64,1,9.975,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,64,2,10.038,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,64,4,20.651,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,64,8,79.359,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,64,16,228.605,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,96,1,15.186,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,96,2,15.086,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,96,4,36.419,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,96,8,130.786,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,96,16,331.013,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,128,1,20.726000000000003,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,128,2,20.152,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,128,4,60.704,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,128,8,178.064,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,262144,128,16,426.478,16.742235946655274,10,9.942235946655272,6.8,9.0
LISA,Chlamydia,1042519,,4,1048576,32,1,4.257000000000001,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,32,2,4.343999999999999,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,32,4,5.428,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,32,8,36.465,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,32,16,106.403,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,64,1,7.972999999999999,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,64,2,8.318000000000001,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,64,4,18.039,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,64,8,78.966,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,64,16,214.627,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,96,1,11.894,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,96,2,12.259,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,96,4,33.528000000000006,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,96,8,124.053,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,96,16,318.711,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,128,1,17.239,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,128,2,17.621000000000002,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,128,4,51.766,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,128,8,160.34300000000002,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,1048576,128,16,423.447,37.94223594665527,10,9.942235946655272,28.0,9.0
LISA,Chlamydia,1042519,,4,4194304,32,1,4.18,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,32,2,4.694,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,32,4,5.457,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,32,8,39.644,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,32,16,107.808,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,64,1,8.09,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,64,2,8.663,118.94223594665527,10,9.942235946655272,109.0,9.0
